#           k/h    P           
    0.26547E-03    0.15736E+04
    0.26680E-03    0.15811E+04
    0.26814E-03    0.15887E+04
    0.26948E-03    0.15963E+04
    0.27083E-03    0.16040E+04
    0.27219E-03    0.16116E+04
    0.27356E-03    0.16194E+04
    0.27493E-03    0.16271E+04
    0.27631E-03    0.16349E+04
    0.27769E-03    0.16427E+04
    0.27908E-03    0.16506E+04
    0.28048E-03    0.16585E+04
    0.28189E-03    0.16664E+04
    0.28330E-03    0.16744E+04
    0.28472E-03    0.16824E+04
    0.28615E-03    0.16905E+04
    0.28758E-03    0.16986E+04
    0.28902E-03    0.17067E+04
    0.29047E-03    0.17149E+04
    0.29193E-03    0.17231E+04
    0.29339E-03    0.17313E+04
    0.29486E-03    0.17396E+04
    0.29634E-03    0.17480E+04
    0.29783E-03    0.17563E+04
    0.29932E-03    0.17647E+04
    0.30082E-03    0.17732E+04
    0.30233E-03    0.17817E+04
    0.30384E-03    0.17902E+04
    0.30536E-03    0.17988E+04
    0.30690E-03    0.18074E+04
    0.30843E-03    0.18160E+04
    0.30998E-03    0.18247E+04
    0.31153E-03    0.18334E+04
    0.31310E-03    0.18422E+04
    0.31466E-03    0.18510E+04
    0.31624E-03    0.18599E+04
    0.31783E-03    0.18687E+04
    0.31942E-03    0.18777E+04
    0.32102E-03    0.18867E+04
    0.32263E-03    0.18957E+04
    0.32425E-03    0.19047E+04
    0.32587E-03    0.19139E+04
    0.32751E-03    0.19230E+04
    0.32915E-03    0.19322E+04
    0.33080E-03    0.19414E+04
    0.33246E-03    0.19507E+04
    0.33412E-03    0.19600E+04
    0.33580E-03    0.19694E+04
    0.33748E-03    0.19788E+04
    0.33917E-03    0.19883E+04
    0.34087E-03    0.19978E+04
    0.34258E-03    0.20073E+04
    0.34430E-03    0.20169E+04
    0.34602E-03    0.20265E+04
    0.34776E-03    0.20362E+04
    0.34950E-03    0.20459E+04
    0.35125E-03    0.20557E+04
    0.35301E-03    0.20655E+04
    0.35478E-03    0.20754E+04
    0.35656E-03    0.20853E+04
    0.35835E-03    0.20953E+04
    0.36015E-03    0.21053E+04
    0.36195E-03    0.21153E+04
    0.36376E-03    0.21254E+04
    0.36559E-03    0.21356E+04
    0.36742E-03    0.21458E+04
    0.36926E-03    0.21560E+04
    0.37111E-03    0.21663E+04
    0.37297E-03    0.21766E+04
    0.37484E-03    0.21870E+04
    0.37672E-03    0.21975E+04
    0.37861E-03    0.22079E+04
    0.38051E-03    0.22185E+04
    0.38242E-03    0.22291E+04
    0.38433E-03    0.22397E+04
    0.38626E-03    0.22504E+04
    0.38819E-03    0.22611E+04
    0.39014E-03    0.22719E+04
    0.39210E-03    0.22827E+04
    0.39406E-03    0.22936E+04
    0.39604E-03    0.23045E+04
    0.39802E-03    0.23155E+04
    0.40002E-03    0.23266E+04
    0.40202E-03    0.23377E+04
    0.40404E-03    0.23488E+04
    0.40606E-03    0.23600E+04
    0.40810E-03    0.23712E+04
    0.41014E-03    0.23825E+04
    0.41220E-03    0.23939E+04
    0.41427E-03    0.24053E+04
    0.41634E-03    0.24168E+04
    0.41843E-03    0.24283E+04
    0.42053E-03    0.24398E+04
    0.42263E-03    0.24514E+04
    0.42475E-03    0.24631E+04
    0.42688E-03    0.24748E+04
    0.42902E-03    0.24866E+04
    0.43117E-03    0.24985E+04
    0.43333E-03    0.25104E+04
    0.43551E-03    0.25223E+04
    0.43769E-03    0.25343E+04
    0.43988E-03    0.25464E+04
    0.44209E-03    0.25585E+04
    0.44430E-03    0.25707E+04
    0.44653E-03    0.25829E+04
    0.44877E-03    0.25952E+04
    0.45102E-03    0.26075E+04
    0.45328E-03    0.26199E+04
    0.45555E-03    0.26324E+04
    0.45783E-03    0.26449E+04
    0.46013E-03    0.26575E+04
    0.46244E-03    0.26701E+04
    0.46475E-03    0.26828E+04
    0.46708E-03    0.26955E+04
    0.46942E-03    0.27084E+04
    0.47178E-03    0.27212E+04
    0.47414E-03    0.27341E+04
    0.47652E-03    0.27471E+04
    0.47891E-03    0.27602E+04
    0.48131E-03    0.27733E+04
    0.48372E-03    0.27865E+04
    0.48615E-03    0.27997E+04
    0.48858E-03    0.28130E+04
    0.49103E-03    0.28263E+04
