#           k/h    P           
    0.12666E-03    0.11699E+00
    0.12730E-03    0.11756E+00
    0.12793E-03    0.11812E+00
    0.12857E-03    0.11869E+00
    0.12922E-03    0.11926E+00
    0.12987E-03    0.11984E+00
    0.13052E-03    0.12041E+00
    0.13117E-03    0.12099E+00
    0.13183E-03    0.12157E+00
    0.13249E-03    0.12216E+00
    0.13315E-03    0.12275E+00
    0.13382E-03    0.12334E+00
    0.13449E-03    0.12393E+00
    0.13517E-03    0.12453E+00
    0.13584E-03    0.12512E+00
    0.13653E-03    0.12573E+00
    0.13721E-03    0.12633E+00
    0.13790E-03    0.12694E+00
    0.13859E-03    0.12755E+00
    0.13928E-03    0.12816E+00
    0.13998E-03    0.12878E+00
    0.14068E-03    0.12940E+00
    0.14139E-03    0.13002E+00
    0.14210E-03    0.13065E+00
    0.14281E-03    0.13128E+00
    0.14352E-03    0.13191E+00
    0.14424E-03    0.13254E+00
    0.14497E-03    0.13318E+00
    0.14569E-03    0.13382E+00
    0.14642E-03    0.13446E+00
    0.14716E-03    0.13511E+00
    0.14790E-03    0.13576E+00
    0.14864E-03    0.13641E+00
    0.14938E-03    0.13707E+00
    0.15013E-03    0.13773E+00
    0.15088E-03    0.13839E+00
    0.15164E-03    0.13906E+00
    0.15240E-03    0.13973E+00
    0.15316E-03    0.14040E+00
    0.15393E-03    0.14107E+00
    0.15470E-03    0.14175E+00
    0.15548E-03    0.14243E+00
    0.15626E-03    0.14312E+00
    0.15704E-03    0.14381E+00
    0.15783E-03    0.14450E+00
    0.15862E-03    0.14519E+00
    0.15941E-03    0.14589E+00
    0.16021E-03    0.14659E+00
    0.16102E-03    0.14730E+00
    0.16182E-03    0.14801E+00
    0.16263E-03    0.14872E+00
    0.16345E-03    0.14943E+00
    0.16427E-03    0.15015E+00
    0.16509E-03    0.15088E+00
    0.16592E-03    0.15160E+00
    0.16675E-03    0.15233E+00
    0.16759E-03    0.15306E+00
    0.16843E-03    0.15380E+00
    0.16927E-03    0.15454E+00
    0.17012E-03    0.15528E+00
    0.17097E-03    0.15603E+00
    0.17183E-03    0.15678E+00
    0.17269E-03    0.15753E+00
    0.17356E-03    0.15829E+00
    0.17443E-03    0.15905E+00
    0.17530E-03    0.15982E+00
